family_id,bairro,rua,localidade_tipo,n_membros,renda_total,renda_per_capita,recebe_bolsa_familia,recebe_bpc,tem_deficiencia,idade_responsavel,escolaridade_responsavel,tipo_moradia,agua,esgoto,sem_registro,nis_fake,lat,lon,faixa_renda,faixa_etaria_responsavel
FAM00016,CENTRO,RUA NOSSA SENHORA - CENTRO,URBANA,4,1276,319.0,0,0,0,42,MÉDIO COMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100016,-3.621279,-39.500773,BAIXA RENDA,ADULTO (31-60)
FAM00017,SÍTIO PAU ALTO,RUA DO COMÉRCIO,RURAL,5,607,121.4,1,0,0,44,FUNDAMENTAL INCOMPLETO,TAIPA NÃO REVESTIDA,Poço,Fossa séptica,0,NIS100017,-3.617754,-39.504377,POBREZA,ADULTO (31-60)
FAM00018,NOVO ANGELIM,AVENIDA CENTRAL - NOVO ANGELIM,URBANA,5,808,161.6,0,0,0,24,FUNDAMENTAL INCOMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100018,-3.625032,-39.502541,POBREZA,ADULTO JOVEM (19-30)
FAM00019,ANGELIM,RUA DO COMÉRCIO - ANGELIM,URBANA,1,246,246.0,1,0,0,65,FUNDAMENTAL INCOMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100019,-3.620712,-39.500553,BAIXA RENDA,IDOSO (60+)
FAM00020,ALTO DA COLINA,RUA NOSSA SENHORA - ALTO DA COLINA,URBANA,3,398,132.67,1,0,0,68,FUNDAMENTAL INCOMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100020,-3.621485,-39.505119,POBREZA,IDOSO (60+)
FAM00021,VOLTA,RUA PRINCIPAL,URBANA,5,411,82.2,1,0,0,42,FUNDAMENTAL COMPLETO,MADEIRA,Rede geral,Rede coletora,0,NIS100021,-3.623132,-39.500059,EXTREMA POBREZA,ADULTO (31-60)
FAM00022,BELA VISTA,TRAVESSA DO SOL - BELA VISTA,URBANA,6,281,46.83,1,0,0,37,MÉDIO COMPLETO,ALVENARIA COM REVESTIMENTO,Poço,Fossa séptica,0,NIS100022,-3.620736,-39.502708,EXTREMA POBREZA,ADULTO (31-60)
FAM00023,BELA VISTA,AVENIDA CENTRAL,URBANA,3,1993,664.33,0,0,0,35,MÉDIO COMPLETO,ALVENARIA COM REVESTIMENTO,Cisterna,Rede coletora,1,NIS100023,-3.620391,-39.502955,BAIXA RENDA,ADULTO (31-60)
FAM00024,SOBRADINHO,AVENIDA CENTRAL - SOBRADINHO,RURAL,4,98,24.5,1,1,1,35,FUNDAMENTAL INCOMPLETO,PALHA,Cisterna,Fossa séptica,0,NIS100024,-3.618772,-39.504304,EXTREMA POBREZA,ADULTO (31-60)
FAM00025,LAJEDOS,RUA DA ESCOLA - LAJEDOS,URBANA,2,856,428.0,1,0,0,61,FUNDAMENTAL INCOMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100025,-3.627226,-39.505233,BAIXA RENDA,IDOSO (60+)
FAM00026,SÍTIO PAU ALTO,RUA FRANCISCO FERREIRA FONTENELES,RURAL,8,271,33.88,1,1,1,61,FUNDAMENTAL INCOMPLETO,PALHA,Poço,Fossa rudimentar,0,NIS100026,-3.61696,-39.506293,EXTREMA POBREZA,IDOSO (60+)
FAM00027,SERRA DO SÍTIO,RUA JOSÉ DE ALENCAR - SERRA DO SÍTIO,RURAL,7,134,19.14,0,0,1,30,MÉDIO COMPLETO,TAIPA REVESTIDA,Rede geral,Fossa rudimentar,0,NIS100027,-3.621182,-39.507754,EXTREMA POBREZA,ADULTO (31-60)
FAM00028,PEDRA FURADA,RUA PRINCIPAL - PEDRA FURADA,RURAL,4,334,83.5,0,0,0,68,FUNDAMENTAL COMPLETO,TAIPA NÃO REVESTIDA,Rede geral,Fossa rudimentar,0,NIS100028,-3.623947,-39.509775,EXTREMA POBREZA,IDOSO (60+)
FAM00029,NOVO ANGELIM,RUA PRINCIPAL - NOVO ANGELIM,URBANA,4,88,22.0,0,0,0,47,MÉDIO COMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Vala a céu aberto,0,NIS100029,-3.62319,-39.503862,EXTREMA POBREZA,ADULTO (31-60)
FAM00030,PEDRA FURADA,RUA DA ESCOLA - PEDRA FURADA,RURAL,4,670,167.5,0,0,1,40,MÉDIO COMPLETO,PALHA,Poço,Fossa rudimentar,0,NIS100030,-3.623102,-39.509128,POBREZA,ADULTO (31-60)
FAM00031,SÍTIO PIRAPORA,RUA DO CRUZEIRO,RURAL,6,372,62.0,1,0,0,19,FUNDAMENTAL INCOMPLETO,ALVENARIA COM REVESTIMENTO,Cisterna,Fossa rudimentar,0,NIS100031,-3.619802,-39.505394,EXTREMA POBREZA,ADULTO JOVEM (19-30)
FAM00032,LAJEDOS,RUA DO MERCADO,URBANA,4,1241,310.25,1,0,0,44,FUNDAMENTAL COMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Fossa séptica,1,NIS100032,-3.62472,-39.505584,BAIXA RENDA,ADULTO (31-60)
FAM00033,VOLTA,RUA SÃO PEDRO - VOLTA,URBANA,6,590,98.33,0,0,0,18,MÉDIO COMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Fossa séptica,0,NIS100033,-3.623029,-39.499469,EXTREMA POBREZA,ADULTO JOVEM (19-30)
FAM00034,ALTO DA COLINA,RUA 7 DE SETEMBRO - ALTO DA COLINA,URBANA,4,441,110.25,1,0,0,40,FUNDAMENTAL INCOMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100034,-3.623912,-39.503179,POBREZA,ADULTO (31-60)
FAM00035,BELA VISTA,RUA FRANCISCO FERREIRA FONTENELES - BELA VISTA,URBANA,2,237,118.5,1,0,0,34,FUNDAMENTAL INCOMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100035,-3.621415,-39.502611,POBREZA,ADULTO (31-60)
FAM00036,SANTA ÚRSULA,RUA NOVA,RURAL,2,1060,530.0,0,0,0,33,MÉDIO COMPLETO,TAIPA REVESTIDA,Poço,Fossa rudimentar,0,NIS100036,-3.619328,-39.508602,BAIXA RENDA,ADULTO (31-60)
FAM00037,ANGELIM,RUA PRINCIPAL - ANGELIM,URBANA,2,1942,971.0,0,0,0,18,FUNDAMENTAL INCOMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100037,-3.621147,-39.500704,ACIMA 1/2 SM,ADULTO JOVEM (19-30)
FAM00038,SOBRADINHO,RUA NOVA - SOBRADINHO,RURAL,2,4175,2087.5,0,0,0,56,MÉDIO COMPLETO,TAIPA NÃO REVESTIDA,Poço,Fossa rudimentar,0,NIS100038,-3.621146,-39.503593,ACIMA 1/2 SM,ADULTO (31-60)
FAM00039,BELA VISTA,TRAVESSA DO SOL - BELA VISTA,URBANA,3,349,116.33,0,0,0,36,FUNDAMENTAL INCOMPLETO,ALVENARIA COM REVESTIMENTO,Poço,Rede coletora,0,NIS100039,-3.621292,-39.502069,POBREZA,ADULTO (31-60)
FAM00040,ANGELIM,RUA JOSÉ DE ALENCAR,URBANA,6,3099,516.5,0,0,0,64,FUNDAMENTAL INCOMPLETO,ALVENARIA SEM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100040,-3.622195,-39.503247,BAIXA RENDA,IDOSO (60+)
FAM00041,VOLTA,RUA DO COMÉRCIO - VOLTA,URBANA,4,431,107.75,1,0,0,36,FUNDAMENTAL INCOMPLETO,ALVENARIA COM REVESTIMENTO,Cisterna,Rede coletora,0,NIS100041,-3.625884,-39.500233,POBREZA,ADULTO (31-60)
FAM00042,VOLTA,AVENIDA CENTRAL,URBANA,6,574,95.67,0,0,0,43,FUNDAMENTAL INCOMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100042,-3.623018,-39.499857,EXTREMA POBREZA,ADULTO (31-60)
FAM00043,BARREIROS,RUA DO CRUZEIRO - BARREIROS,RURAL,3,386,128.67,1,0,0,55,MÉDIO COMPLETO,TAIPA NÃO REVESTIDA,Poço,Fossa rudimentar,0,NIS100043,-3.628348,-39.50926,POBREZA,ADULTO (31-60)
FAM00044,BOM JESUS,RUA 7 DE SETEMBRO,RURAL,2,572,286.0,0,0,0,49,FUNDAMENTAL INCOMPLETO,TAIPA REVESTIDA,Cisterna,Fossa séptica,0,NIS100044,-3.626075,-39.508585,BAIXA RENDA,ADULTO (31-60)
FAM00045,BELA VISTA,RUA SÃO PEDRO - BELA VISTA,URBANA,5,360,72.0,1,0,0,53,MÉDIO COMPLETO,ALVENARIA COM REVESTIMENTO,Poço,Rede coletora,0,NIS100045,-3.619845,-39.501469,EXTREMA POBREZA,ADULTO (31-60)
FAM00046,SANTA MARIA,RUA DO COMÉRCIO - SANTA MARIA,RURAL,3,190,63.33,1,0,0,34,SUPERIOR INCOMPLETO,TAIPA NÃO REVESTIDA,Poço,Fossa rudimentar,0,NIS100046,-3.621807,-39.507584,EXTREMA POBREZA,ADULTO (31-60)
FAM00047,PEDRA FURADA,RUA 7 DE SETEMBRO,RURAL,5,617,123.4,1,0,0,26,FUNDAMENTAL COMPLETO,TAIPA NÃO REVESTIDA,Cisterna,Vala a céu aberto,0,NIS100047,-3.623052,-39.508081,POBREZA,ADULTO JOVEM (19-30)
FAM00048,ALTO DA COLINA,RUA DO COMÉRCIO - ALTO DA COLINA,URBANA,2,1292,646.0,0,0,0,33,NÃO SABE LER/ESCREVER,ALVENARIA COM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100048,-3.623185,-39.505187,BAIXA RENDA,ADULTO (31-60)
FAM00049,ALTO SÃO JOÃO,TRAVESSA DO SOL - ALTO SÃO JOÃO,URBANA,4,1016,254.0,0,0,0,39,FUNDAMENTAL INCOMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100049,-3.622714,-39.501445,BAIXA RENDA,ADULTO (31-60)
FAM00050,ANGELIM,RUA DO MERCADO,URBANA,3,444,148.0,1,0,0,44,FUNDAMENTAL INCOMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100050,-3.621588,-39.503659,POBREZA,ADULTO (31-60)
FAM00051,CASINHAS,RUA NOVA - CASINHAS,URBANA,6,431,71.83,1,0,0,49,FUNDAMENTAL INCOMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100051,-3.626098,-39.501019,EXTREMA POBREZA,ADULTO (31-60)
FAM00052,VOLTA,RUA DO ESTÁDIO - VOLTA,URBANA,5,773,154.6,1,0,0,27,FUNDAMENTAL INCOMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Fossa séptica,0,NIS100052,-3.62282,-39.499746,POBREZA,ADULTO JOVEM (19-30)
FAM00053,CENTRO,RUA NOVA - CENTRO,URBANA,3,110,36.67,1,0,0,66,MÉDIO COMPLETO,ALVENARIA SEM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100053,-3.623876,-39.50293,EXTREMA POBREZA,IDOSO (60+)
FAM00054,CENTRO,RUA NOSSA SENHORA,URBANA,5,1182,236.4,1,0,0,41,MÉDIO COMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100054,-3.621776,-39.504279,BAIXA RENDA,ADULTO (31-60)
FAM00055,VOLTA,TRAVESSA DO SOL - VOLTA,URBANA,1,114,114.0,0,0,1,49,FUNDAMENTAL COMPLETO,ALVENARIA COM REVESTIMENTO,Poço,Rede coletora,0,NIS100055,-3.621747,-39.498422,POBREZA,ADULTO (31-60)
FAM00056,ANGELIM,RUA PRINCIPAL,URBANA,4,696,174.0,1,0,0,18,NÃO SABE LER/ESCREVER,ALVENARIA COM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100056,-3.62381,-39.500532,POBREZA,ADULTO JOVEM (19-30)
FAM00057,ALTO DA COLINA,RUA DO MERCADO - ALTO DA COLINA,URBANA,5,537,107.4,1,0,0,44,FUNDAMENTAL INCOMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100057,-3.622961,-39.501913,POBREZA,ADULTO (31-60)
FAM00058,PRATA DOS GALDINOS,RUA DO MERCADO - PRATA DOS GALDINOS,RURAL,3,773,257.67,1,0,0,49,MÉDIO COMPLETO,TAIPA REVESTIDA,Poço,Fossa rudimentar,0,NIS100058,-3.621449,-39.511999,BAIXA RENDA,ADULTO (31-60)
FAM00059,SÃO JOÃO,AVENIDA CENTRAL,RURAL,5,1568,313.6,1,0,0,56,MÉDIO COMPLETO,TAIPA REVESTIDA,Poço,Fossa rudimentar,0,NIS100059,-3.617408,-39.510157,BAIXA RENDA,ADULTO (31-60)
FAM00060,BARREIROS,RUA DO CRUZEIRO - BARREIROS,RURAL,5,737,147.4,0,0,0,39,SUPERIOR COMPLETO,ALVENARIA COM REVESTIMENTO,Poço,Vala a céu aberto,0,NIS100060,-3.629612,-39.507358,POBREZA,ADULTO (31-60)
FAM00061,ALTO SÃO JOÃO,TRAVESSA DO SOL,URBANA,3,390,130.0,1,0,0,43,FUNDAMENTAL INCOMPLETO,ALVENARIA COM REVESTIMENTO,Poço,Rede coletora,1,NIS100061,-3.625205,-39.500439,POBREZA,ADULTO (31-60)
FAM00062,SANTA MARIA,RUA JOSÉ DE ALENCAR,RURAL,8,1482,185.25,0,0,0,32,FUNDAMENTAL COMPLETO,TAIPA NÃO REVESTIDA,Cisterna,Vala a céu aberto,0,NIS100062,-3.622336,-39.508591,POBREZA,ADULTO (31-60)
FAM00063,ITAMARATY,RUA DA ESCOLA - ITAMARATY,URBANA,3,86,28.67,0,0,0,25,FUNDAMENTAL COMPLETO,ALVENARIA COM REVESTIMENTO,Cisterna,Fossa séptica,0,NIS100063,-3.621324,-39.500277,EXTREMA POBREZA,ADULTO JOVEM (19-30)
FAM00064,BAIXA GRANDE,RUA NOVA - BAIXA GRANDE,RURAL,7,1409,201.29,0,1,0,64,FUNDAMENTAL COMPLETO,TAIPA REVESTIDA,Poço,Fossa rudimentar,0,NIS100064,-3.629663,-39.50558,POBREZA,IDOSO (60+)
FAM00065,SERRA DO SÍTIO,RUA DA IGREJA - SERRA DO SÍTIO,RURAL,5,261,52.2,1,0,0,32,FUNDAMENTAL COMPLETO,TAIPA NÃO REVESTIDA,Poço,Fossa rudimentar,0,NIS100065,-3.620994,-39.506646,EXTREMA POBREZA,ADULTO (31-60)
FAM00066,PEDRA FURADA,RUA DA ESCOLA - PEDRA FURADA,RURAL,2,102,51.0,1,0,0,24,FUNDAMENTAL INCOMPLETO,PALHA,Poço,Fossa rudimentar,0,NIS100066,-3.620581,-39.509706,EXTREMA POBREZA,ADULTO JOVEM (19-30)
FAM00067,SERRA DO SÍTIO,RUA SÃO PEDRO - SERRA DO SÍTIO,RURAL,5,113,22.6,0,0,0,48,MÉDIO COMPLETO,PALHA,Cisterna,Vala a céu aberto,0,NIS100067,-3.619898,-39.506332,EXTREMA POBREZA,ADULTO (31-60)
FAM00068,NOVO ANGELIM,RUA DO MERCADO,URBANA,6,353,58.83,1,0,1,30,MÉDIO COMPLETO,ALVENARIA COM REVESTIMENTO,Poço,Fossa séptica,0,NIS100068,-3.62573,-39.502647,EXTREMA POBREZA,ADULTO (31-60)
FAM00069,PRATA DOS GALDINOS,TRAVESSA DO SOL - PRATA DOS GALDINOS,RURAL,5,626,125.2,0,0,0,36,FUNDAMENTAL COMPLETO,ALVENARIA COM REVESTIMENTO,Poço,Fossa séptica,0,NIS100069,-3.620553,-39.51169,POBREZA,ADULTO (31-60)
FAM00070,VOLTA,RUA NOVA - VOLTA,URBANA,3,320,106.67,1,0,0,43,MÉDIO COMPLETO,OUTRA,Cisterna,Fossa séptica,0,NIS100070,-3.621847,-39.499502,POBREZA,ADULTO (31-60)
FAM00071,BAIXA GRANDE,RUA DA IGREJA - BAIXA GRANDE,RURAL,3,163,54.33,1,0,0,39,MÉDIO COMPLETO,PALHA,Poço,Fossa rudimentar,0,NIS100071,-3.630434,-39.505109,EXTREMA POBREZA,ADULTO (31-60)
FAM00072,ALTO SÃO JOÃO,RUA PRINCIPAL,URBANA,3,1106,368.67,0,0,0,39,FUNDAMENTAL INCOMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Fossa séptica,0,NIS100072,-3.624945,-39.501048,BAIXA RENDA,ADULTO (31-60)
FAM00073,SÍTIO OITICICA,RUA FRANCISCO FERREIRA FONTENELES,RURAL,5,211,42.2,1,0,0,46,NÃO SABE LER/ESCREVER,ALVENARIA COM REVESTIMENTO,Cisterna,Fossa séptica,0,NIS100073,-3.619264,-39.507986,EXTREMA POBREZA,ADULTO (31-60)
FAM00074,BELA VISTA,RUA DO COMÉRCIO - BELA VISTA,URBANA,3,278,92.67,1,0,0,55,FUNDAMENTAL COMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100074,-3.621682,-39.502873,EXTREMA POBREZA,ADULTO (31-60)
FAM00075,ITAMARATY,RUA NOSSA SENHORA,URBANA,2,4280,2140.0,0,0,0,41,MÉDIO COMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100075,-3.621202,-39.50094,ACIMA 1/2 SM,ADULTO (31-60)
FAM00076,NOVO ANGELIM,RUA SÃO PEDRO,URBANA,5,316,63.2,1,0,1,35,FUNDAMENTAL INCOMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100076,-3.623475,-39.502758,EXTREMA POBREZA,ADULTO (31-60)
FAM00077,BELA VISTA,TRAVESSA DO SOL,URBANA,2,546,273.0,1,0,0,55,MÉDIO COMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100077,-3.621035,-39.502401,BAIXA RENDA,ADULTO (31-60)
FAM00078,GUARIBUNA,RUA SÃO PEDRO - GUARIBUNA,RURAL,2,860,430.0,0,0,0,57,FUNDAMENTAL COMPLETO,TAIPA NÃO REVESTIDA,Cisterna,Fossa rudimentar,0,NIS100078,-3.626637,-39.512568,BAIXA RENDA,ADULTO (31-60)
FAM00079,MUNDAÚ,RUA DA IGREJA,RURAL,5,92,18.4,0,0,0,29,FUNDAMENTAL INCOMPLETO,ALVENARIA COM REVESTIMENTO,Poço,Vala a céu aberto,0,NIS100079,-3.62474,-39.508486,EXTREMA POBREZA,ADULTO JOVEM (19-30)
FAM00080,ANGELIM,RUA DA IGREJA - ANGELIM,URBANA,6,796,132.67,1,0,0,24,FUNDAMENTAL COMPLETO,ALVENARIA SEM REVESTIMENTO,Rede geral,Fossa séptica,0,NIS100080,-3.62286,-39.500413,POBREZA,ADULTO JOVEM (19-30)
FAM00081,CENTRO,RUA DO CRUZEIRO,URBANA,4,66,16.5,1,0,0,45,FUNDAMENTAL COMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Vala a céu aberto,0,NIS100081,-3.621841,-39.504149,EXTREMA POBREZA,ADULTO (31-60)
FAM00082,BELA VISTA,RUA DO CRUZEIRO - BELA VISTA,URBANA,2,75,37.5,1,0,0,45,MÉDIO COMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100082,-3.621037,-39.500748,EXTREMA POBREZA,ADULTO (31-60)
FAM00083,PEDRA FURADA,RUA NOSSA SENHORA,RURAL,4,375,93.75,1,0,1,47,FUNDAMENTAL INCOMPLETO,TAIPA REVESTIDA,Poço,Fossa rudimentar,0,NIS100083,-3.623029,-39.511173,EXTREMA POBREZA,ADULTO (31-60)
FAM00084,ANGELIM,RUA NOSSA SENHORA - ANGELIM,URBANA,8,559,69.88,1,0,0,48,MÉDIO COMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100084,-3.622221,-39.502639,EXTREMA POBREZA,ADULTO (31-60)
FAM00085,SANTA MARIA,AVENIDA CENTRAL - SANTA MARIA,RURAL,5,1294,258.8,0,0,0,39,FUNDAMENTAL INCOMPLETO,PALHA,Cisterna,Vala a céu aberto,0,NIS100085,-3.62081,-39.507122,BAIXA RENDA,ADULTO (31-60)
FAM00086,BELA VISTA,RUA DA ESCOLA,URBANA,3,246,82.0,0,0,0,46,FUNDAMENTAL COMPLETO,OUTRA,Rede geral,Vala a céu aberto,0,NIS100086,-3.620959,-39.501861,EXTREMA POBREZA,ADULTO (31-60)
FAM00087,NOVO ANGELIM,RUA DO COMÉRCIO,URBANA,5,943,188.6,0,0,0,50,FUNDAMENTAL COMPLETO,ALVENARIA SEM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100087,-3.625361,-39.505547,POBREZA,ADULTO (31-60)
FAM00088,ALTO SÃO JOÃO,RUA FRANCISCO FERREIRA FONTENELES - ALTO SÃO JOÃO,URBANA,3,574,191.33,0,0,0,32,FUNDAMENTAL COMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100088,-3.626677,-39.50315,POBREZA,ADULTO (31-60)
FAM00089,ANGELIM,RUA DA IGREJA - ANGELIM,URBANA,4,909,227.25,0,0,0,50,MÉDIO COMPLETO,OUTRA,Rede geral,Rede coletora,0,NIS100089,-3.623588,-39.501866,BAIXA RENDA,ADULTO (31-60)
FAM00090,ITAMARATY,RUA DA IGREJA - ITAMARATY,URBANA,3,1181,393.67,1,0,0,33,FUNDAMENTAL COMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Fossa séptica,0,NIS100090,-3.620095,-39.501993,BAIXA RENDA,ADULTO (31-60)
FAM00091,APERTADA HORA,RUA DO ESTÁDIO - APERTADA HORA,RURAL,4,1733,433.25,0,0,0,40,FUNDAMENTAL COMPLETO,TAIPA REVESTIDA,Cisterna,Vala a céu aberto,0,NIS100091,-3.630297,-39.502861,BAIXA RENDA,ADULTO (31-60)
FAM00092,SANTA MARIA,RUA DA ESCOLA,RURAL,3,965,321.67,0,0,0,32,FUNDAMENTAL INCOMPLETO,PALHA,Poço,Fossa séptica,0,NIS100092,-3.621282,-39.507896,BAIXA RENDA,ADULTO (31-60)
FAM00093,CASINHAS,RUA SÃO PEDRO - CASINHAS,URBANA,1,1483,1483.0,0,0,0,64,FUNDAMENTAL COMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100093,-3.625142,-39.500443,ACIMA 1/2 SM,IDOSO (60+)
FAM00094,BARREIROS,RUA DO COMÉRCIO,RURAL,2,647,323.5,0,0,0,34,FUNDAMENTAL COMPLETO,TAIPA REVESTIDA,Poço,Fossa rudimentar,0,NIS100094,-3.629143,-39.507819,BAIXA RENDA,ADULTO (31-60)
FAM00095,VOLTA,RUA NOSSA SENHORA,URBANA,3,1246,415.33,0,0,0,43,FUNDAMENTAL COMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100095,-3.624118,-39.499492,BAIXA RENDA,ADULTO (31-60)
FAM00096,ITAMARATY,RUA DA IGREJA,URBANA,2,202,101.0,0,0,0,50,FUNDAMENTAL COMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Fossa séptica,0,NIS100096,-3.621293,-39.500976,EXTREMA POBREZA,ADULTO (31-60)
