family_id,bairro,rua,localidade_tipo,n_membros,renda_total,renda_per_capita,recebe_bolsa_familia,recebe_bpc,tem_deficiencia,idade_responsavel,escolaridade_responsavel,tipo_moradia,agua,esgoto,sem_registro,nis_fake,lat,lon
FAM00016,Centro,Rua Nossa Senhora - Centro,urbana,4,1276,319.0,0,0,0,42,Médio completo,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100016,-3.621279,-39.500773
FAM00017,Sítio Pau Alto,Rua do Comércio,rural,5,607,121.4,1,0,0,44,Fundamental incompleto,Taipa não revestida,Poço,Fossa séptica,0,NIS100017,-3.617754,-39.504377
FAM00018,Novo Angelim,Avenida Central - Novo Angelim,urbana,5,808,161.6,0,0,0,24,Fundamental incompleto,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100018,-3.625032,-39.502541
FAM00019,Angelim,Rua do Comércio - Angelim,urbana,1,246,246.0,1,0,0,65,Fundamental incompleto,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100019,-3.620712,-39.500553
FAM00020,Alto da Colina,Rua Nossa Senhora - Alto da Colina,urbana,3,398,132.67,1,0,0,68,Fundamental incompleto,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100020,-3.621485,-39.505119
FAM00021,Volta,Rua Principal,urbana,5,411,82.2,1,0,0,42,Fundamental completo,Madeira,Rede geral,Rede coletora,0,NIS100021,-3.623132,-39.500059
FAM00022,Bela Vista,Travessa do Sol - Bela Vista,urbana,6,281,46.83,1,0,0,37,Médio completo,Alvenaria com revestimento,Poço,Fossa séptica,0,NIS100022,-3.620736,-39.502708
FAM00023,Bela Vista,Avenida Central,urbana,3,1993,664.33,0,0,0,35,Médio completo,Alvenaria com revestimento,Cisterna,Rede coletora,1,NIS100023,-3.620391,-39.502955
FAM00024,Sobradinho,Avenida Central - Sobradinho,rural,4,98,24.5,1,1,1,35,Fundamental incompleto,Palha,Cisterna,Fossa séptica,0,NIS100024,-3.618772,-39.504304
FAM00025,Lajedos,Rua da Escola - Lajedos,urbana,2,856,428.0,1,0,0,61,Fundamental incompleto,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100025,-3.627226,-39.505233
FAM00026,Sítio Pau Alto,Rua Francisco Ferreira Fonteneles,rural,8,271,33.88,1,1,1,61,Fundamental incompleto,Palha,Poço,Fossa rudimentar,0,NIS100026,-3.61696,-39.506293
FAM00027,Serra do Sítio,Rua José de Alencar - Serra do Sítio,rural,7,134,19.14,0,0,1,30,Médio completo,Taipa revestida,Rede geral,Fossa rudimentar,0,NIS100027,-3.621182,-39.507754
FAM00028,Pedra Furada,Rua Principal - Pedra Furada,rural,4,334,83.5,0,0,0,68,Fundamental completo,Taipa não revestida,Rede geral,Fossa rudimentar,0,NIS100028,-3.623947,-39.509775
FAM00029,Novo Angelim,Rua Principal - Novo Angelim,urbana,4,88,22.0,0,0,0,47,Médio completo,Alvenaria com revestimento,Rede geral,Vala a céu aberto,0,NIS100029,-3.62319,-39.503862
FAM00030,Pedra Furada,Rua da Escola - Pedra Furada,rural,4,670,167.5,0,0,1,40,Médio completo,Palha,Poço,Fossa rudimentar,0,NIS100030,-3.623102,-39.509128
FAM00031,Sítio Pirapora,Rua do Cruzeiro,rural,6,372,62.0,1,0,0,19,Fundamental incompleto,Alvenaria com revestimento,Cisterna,Fossa rudimentar,0,NIS100031,-3.619802,-39.505394
FAM00032,Lajedos,Rua do Mercado,urbana,4,1241,310.25,1,0,0,44,Fundamental completo,Alvenaria com revestimento,Rede geral,Fossa séptica,1,NIS100032,-3.62472,-39.505584
FAM00033,Volta,Rua São Pedro - Volta,urbana,6,590,98.33,0,0,0,18,Médio completo,Alvenaria com revestimento,Rede geral,Fossa séptica,0,NIS100033,-3.623029,-39.499469
FAM00034,Alto da Colina,Rua 7 de Setembro - Alto da Colina,urbana,4,441,110.25,1,0,0,40,Fundamental incompleto,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100034,-3.623912,-39.503179
FAM00035,Bela Vista,Rua Francisco Ferreira Fonteneles - Bela Vista,urbana,2,237,118.5,1,0,0,34,Fundamental incompleto,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100035,-3.621415,-39.502611
FAM00036,Santa Úrsula,Rua Nova,rural,2,1060,530.0,0,0,0,33,Médio completo,Taipa revestida,Poço,Fossa rudimentar,0,NIS100036,-3.619328,-39.508602
FAM00037,Angelim,Rua Principal - Angelim,urbana,2,1942,971.0,0,0,0,18,Fundamental incompleto,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100037,-3.621147,-39.500704
FAM00038,Sobradinho,Rua Nova - Sobradinho,rural,2,4175,2087.5,0,0,0,56,Médio completo,Taipa não revestida,Poço,Fossa rudimentar,0,NIS100038,-3.621146,-39.503593
FAM00039,Bela Vista,Travessa do Sol - Bela Vista,urbana,3,349,116.33,0,0,0,36,Fundamental incompleto,Alvenaria com revestimento,Poço,Rede coletora,0,NIS100039,-3.621292,-39.502069
FAM00040,Angelim,Rua José de Alencar,urbana,6,3099,516.5,0,0,0,64,Fundamental incompleto,Alvenaria sem revestimento,Rede geral,Rede coletora,0,NIS100040,-3.622195,-39.503247
FAM00041,Volta,Rua do Comércio - Volta,urbana,4,431,107.75,1,0,0,36,Fundamental incompleto,Alvenaria com revestimento,Cisterna,Rede coletora,0,NIS100041,-3.625884,-39.500233
FAM00042,Volta,Avenida Central,urbana,6,574,95.67,0,0,0,43,Fundamental incompleto,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100042,-3.623018,-39.499857
FAM00043,Barreiros,Rua do Cruzeiro - Barreiros,rural,3,386,128.67,1,0,0,55,Médio completo,Taipa não revestida,Poço,Fossa rudimentar,0,NIS100043,-3.628348,-39.50926
FAM00044,Bom Jesus,Rua 7 de Setembro,rural,2,572,286.0,0,0,0,49,Fundamental incompleto,Taipa revestida,Cisterna,Fossa séptica,0,NIS100044,-3.626075,-39.508585
FAM00045,Bela Vista,Rua São Pedro - Bela Vista,urbana,5,360,72.0,1,0,0,53,Médio completo,Alvenaria com revestimento,Poço,Rede coletora,0,NIS100045,-3.619845,-39.501469
FAM00046,Santa Maria,Rua do Comércio - Santa Maria,rural,3,190,63.33,1,0,0,34,Superior incompleto,Taipa não revestida,Poço,Fossa rudimentar,0,NIS100046,-3.621807,-39.507584
FAM00047,Pedra Furada,Rua 7 de Setembro,rural,5,617,123.4,1,0,0,26,Fundamental completo,Taipa não revestida,Cisterna,Vala a céu aberto,0,NIS100047,-3.623052,-39.508081
FAM00048,Alto da Colina,Rua do Comércio - Alto da Colina,urbana,2,1292,646.0,0,0,0,33,Não sabe ler/escrever,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100048,-3.623185,-39.505187
FAM00049,Alto São João,Travessa do Sol - Alto São João,urbana,4,1016,254.0,0,0,0,39,Fundamental incompleto,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100049,-3.622714,-39.501445
FAM00050,Angelim,Rua do Mercado,urbana,3,444,148.0,1,0,0,44,Fundamental incompleto,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100050,-3.621588,-39.503659
FAM00051,Casinhas,Rua Nova - Casinhas,urbana,6,431,71.83,1,0,0,49,Fundamental incompleto,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100051,-3.626098,-39.501019
FAM00052,Volta,Rua do Estádio - Volta,urbana,5,773,154.6,1,0,0,27,Fundamental incompleto,Alvenaria com revestimento,Rede geral,Fossa séptica,0,NIS100052,-3.62282,-39.499746
FAM00053,Centro,Rua Nova - Centro,urbana,3,110,36.67,1,0,0,66,Médio completo,Alvenaria sem revestimento,Rede geral,Rede coletora,0,NIS100053,-3.623876,-39.50293
FAM00054,Centro,Rua Nossa Senhora,urbana,5,1182,236.4,1,0,0,41,Médio completo,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100054,-3.621776,-39.504279
FAM00055,Volta,Travessa do Sol - Volta,urbana,1,114,114.0,0,0,1,49,Fundamental completo,Alvenaria com revestimento,Poço,Rede coletora,0,NIS100055,-3.621747,-39.498422
FAM00056,Angelim,Rua Principal,urbana,4,696,174.0,1,0,0,18,Não sabe ler/escrever,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100056,-3.62381,-39.500532
FAM00057,Alto da Colina,Rua do Mercado - Alto da Colina,urbana,5,537,107.4,1,0,0,44,Fundamental incompleto,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100057,-3.622961,-39.501913
FAM00058,Prata dos Galdinos,Rua do Mercado - Prata dos Galdinos,rural,3,773,257.67,1,0,0,49,Médio completo,Taipa revestida,Poço,Fossa rudimentar,0,NIS100058,-3.621449,-39.511999
FAM00059,São João,Avenida Central,rural,5,1568,313.6,1,0,0,56,Médio completo,Taipa revestida,Poço,Fossa rudimentar,0,NIS100059,-3.617408,-39.510157
FAM00060,Barreiros,Rua do Cruzeiro - Barreiros,rural,5,737,147.4,0,0,0,39,Superior completo,Alvenaria com revestimento,Poço,Vala a céu aberto,0,NIS100060,-3.629612,-39.507358
FAM00061,Alto São João,Travessa do Sol,urbana,3,390,130.0,1,0,0,43,Fundamental incompleto,Alvenaria com revestimento,Poço,Rede coletora,1,NIS100061,-3.625205,-39.500439
FAM00062,Santa Maria,Rua José de Alencar,rural,8,1482,185.25,0,0,0,32,Fundamental completo,Taipa não revestida,Cisterna,Vala a céu aberto,0,NIS100062,-3.622336,-39.508591
FAM00063,Itamaraty,Rua da Escola - Itamaraty,urbana,3,86,28.67,0,0,0,25,Fundamental completo,Alvenaria com revestimento,Cisterna,Fossa séptica,0,NIS100063,-3.621324,-39.500277
FAM00064,Baixa Grande,Rua Nova - Baixa Grande,rural,7,1409,201.29,0,1,0,64,Fundamental completo,Taipa revestida,Poço,Fossa rudimentar,0,NIS100064,-3.629663,-39.50558
FAM00065,Serra do Sítio,Rua da Igreja - Serra do Sítio,rural,5,261,52.2,1,0,0,32,Fundamental completo,Taipa não revestida,Poço,Fossa rudimentar,0,NIS100065,-3.620994,-39.506646
FAM00066,Pedra Furada,Rua da Escola - Pedra Furada,rural,2,102,51.0,1,0,0,24,Fundamental incompleto,Palha,Poço,Fossa rudimentar,0,NIS100066,-3.620581,-39.509706
FAM00067,Serra do Sítio,Rua São Pedro - Serra do Sítio,rural,5,113,22.6,0,0,0,48,Médio completo,Palha,Cisterna,Vala a céu aberto,0,NIS100067,-3.619898,-39.506332
FAM00068,Novo Angelim,Rua do Mercado,urbana,6,353,58.83,1,0,1,30,Médio completo,Alvenaria com revestimento,Poço,Fossa séptica,0,NIS100068,-3.62573,-39.502647
FAM00069,Prata dos Galdinos,Travessa do Sol - Prata dos Galdinos,rural,5,626,125.2,0,0,0,36,Fundamental completo,Alvenaria com revestimento,Poço,Fossa séptica,0,NIS100069,-3.620553,-39.51169
FAM00070,Volta,Rua Nova - Volta,urbana,3,320,106.67,1,0,0,43,Médio completo,Outra,Cisterna,Fossa séptica,0,NIS100070,-3.621847,-39.499502
FAM00071,Baixa Grande,Rua da Igreja - Baixa Grande,rural,3,163,54.33,1,0,0,39,Médio completo,Palha,Poço,Fossa rudimentar,0,NIS100071,-3.630434,-39.505109
FAM00072,Alto São João,Rua Principal,urbana,3,1106,368.67,0,0,0,39,Fundamental incompleto,Alvenaria com revestimento,Rede geral,Fossa séptica,0,NIS100072,-3.624945,-39.501048
FAM00073,Sítio Oiticica,Rua Francisco Ferreira Fonteneles,rural,5,211,42.2,1,0,0,46,Não sabe ler/escrever,Alvenaria com revestimento,Cisterna,Fossa séptica,0,NIS100073,-3.619264,-39.507986
FAM00074,Bela Vista,Rua do Comércio - Bela Vista,urbana,3,278,92.67,1,0,0,55,Fundamental completo,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100074,-3.621682,-39.502873
FAM00075,Itamaraty,Rua Nossa Senhora,urbana,2,4280,2140.0,0,0,0,41,Médio completo,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100075,-3.621202,-39.50094
FAM00076,Novo Angelim,Rua São Pedro,urbana,5,316,63.2,1,0,1,35,Fundamental incompleto,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100076,-3.623475,-39.502758
FAM00077,Bela Vista,Travessa do Sol,urbana,2,546,273.0,1,0,0,55,Médio completo,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100077,-3.621035,-39.502401
FAM00078,Guaribuna,Rua São Pedro - Guaribuna,rural,2,860,430.0,0,0,0,57,Fundamental completo,Taipa não revestida,Cisterna,Fossa rudimentar,0,NIS100078,-3.626637,-39.512568
FAM00079,Mundaú,Rua da Igreja,rural,5,92,18.4,0,0,0,29,Fundamental incompleto,Alvenaria com revestimento,Poço,Vala a céu aberto,0,NIS100079,-3.62474,-39.508486
FAM00080,Angelim,Rua da Igreja - Angelim,urbana,6,796,132.67,1,0,0,24,Fundamental completo,Alvenaria sem revestimento,Rede geral,Fossa séptica,0,NIS100080,-3.62286,-39.500413
FAM00081,Centro,Rua do Cruzeiro,urbana,4,66,16.5,1,0,0,45,Fundamental completo,Alvenaria com revestimento,Rede geral,Vala a céu aberto,0,NIS100081,-3.621841,-39.504149
FAM00082,Bela Vista,Rua do Cruzeiro - Bela Vista,urbana,2,75,37.5,1,0,0,45,Médio completo,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100082,-3.621037,-39.500748
FAM00083,Pedra Furada,Rua Nossa Senhora,rural,4,375,93.75,1,0,1,47,Fundamental incompleto,Taipa revestida,Poço,Fossa rudimentar,0,NIS100083,-3.623029,-39.511173
FAM00084,Angelim,Rua Nossa Senhora - Angelim,urbana,8,559,69.88,1,0,0,48,Médio completo,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100084,-3.622221,-39.502639
FAM00085,Santa Maria,Avenida Central - Santa Maria,rural,5,1294,258.8,0,0,0,39,Fundamental incompleto,Palha,Cisterna,Vala a céu aberto,0,NIS100085,-3.62081,-39.507122
FAM00086,Bela Vista,Rua da Escola,urbana,3,246,82.0,0,0,0,46,Fundamental completo,Outra,Rede geral,Vala a céu aberto,0,NIS100086,-3.620959,-39.501861
FAM00087,Novo Angelim,Rua do Comércio,urbana,5,943,188.6,0,0,0,50,Fundamental completo,Alvenaria sem revestimento,Rede geral,Rede coletora,0,NIS100087,-3.625361,-39.505547
FAM00088,Alto São João,Rua Francisco Ferreira Fonteneles - Alto São João,urbana,3,574,191.33,0,0,0,32,Fundamental completo,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100088,-3.626677,-39.50315
FAM00089,Angelim,Rua da Igreja - Angelim,urbana,4,909,227.25,0,0,0,50,Médio completo,Outra,Rede geral,Rede coletora,0,NIS100089,-3.623588,-39.501866
FAM00090,Itamaraty,Rua da Igreja - Itamaraty,urbana,3,1181,393.67,1,0,0,33,Fundamental completo,Alvenaria com revestimento,Rede geral,Fossa séptica,0,NIS100090,-3.620095,-39.501993
FAM00091,Apertada Hora,Rua do Estádio - Apertada Hora,rural,4,1733,433.25,0,0,0,40,Fundamental completo,Taipa revestida,Cisterna,Vala a céu aberto,0,NIS100091,-3.630297,-39.502861
FAM00092,Santa Maria,Rua da Escola,rural,3,965,321.67,0,0,0,32,Fundamental incompleto,Palha,Poço,Fossa séptica,0,NIS100092,-3.621282,-39.507896
FAM00093,Casinhas,Rua São Pedro - Casinhas,urbana,1,1483,1483.0,0,0,0,64,Fundamental completo,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100093,-3.625142,-39.500443
FAM00094,Barreiros,Rua do Comércio,rural,2,647,323.5,0,0,0,34,Fundamental completo,Taipa revestida,Poço,Fossa rudimentar,0,NIS100094,-3.629143,-39.507819
FAM00095,Volta,Rua Nossa Senhora,urbana,3,1246,415.33,0,0,0,43,Fundamental completo,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100095,-3.624118,-39.499492
FAM00096,Itamaraty,Rua da Igreja,urbana,2,202,101.0,0,0,0,50,Fundamental completo,Alvenaria com revestimento,Rede geral,Fossa séptica,0,NIS100096,-3.621293,-39.500976
FAM00097,Sítio Oiticica,Rua do Mercado,rural,4,527,131.75,1,0,0,59,Fundamental completo,Taipa revestida,Cisterna,Fossa rudimentar,0,NIS100097,-3.62001,-39.507886
FAM00098,Casinhas,Rua do Mercado,urbana,4,230,57.5,0,0,0,19,Fundamental completo,Alvenaria com revestimento,Rede geral,Vala a céu aberto,0,NIS100098,-3.626738,-39.499989
FAM00099,Centro,Rua São Pedro,urbana,6,822,137.0,0,0,0,50,Fundamental incompleto,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100099,-3.621819,-39.503808
FAM00100,Carrapato,Rua José de Alencar,rural,2,51,25.5,1,0,0,42,Fundamental incompleto,Taipa não revestida,Poço,Fossa rudimentar,0,NIS100100,-3.629065,-39.513355
FAM00101,Centro,Rua Principal - Centro,urbana,4,801,200.25,0,1,1,24,Fundamental completo,Alvenaria com revestimento,Rede geral,Fossa séptica,0,NIS100101,-3.622407,-39.504929
FAM00102,Ferrão,Rua do Mercado - Ferrão,rural,4,124,31.0,1,0,0,54,Fundamental completo,Taipa não revestida,Poço,Fossa rudimentar,0,NIS100102,-3.625403,-39.508086
FAM00103,Sítio Pirapora,Rua Nossa Senhora - Sítio Pirapora,rural,4,346,86.5,1,0,1,41,Fundamental incompleto,Palha,Poço,Fossa rudimentar,0,NIS100103,-3.621368,-39.50493
FAM00104,Angelim,Rua Nova - Angelim,urbana,4,168,42.0,0,0,0,41,Fundamental incompleto,Alvenaria sem revestimento,Rede geral,Rede coletora,0,NIS100104,-3.623503,-39.500546
FAM00105,Água Fria,Rua Nova - Água Fria,rural,3,455,151.67,1,0,1,54,Fundamental completo,Palha,Cisterna,Fossa séptica,0,NIS100105,-3.627587,-39.501773
FAM00106,Lajedos,Rua Principal - Lajedos,urbana,5,239,47.8,1,0,0,60,Fundamental incompleto,Alvenaria com revestimento,Poço,Fossa séptica,0,NIS100106,-3.624782,-39.504582
FAM00107,Aguaí,Rua 7 de Setembro - Aguaí,rural,3,635,211.67,0,0,0,29,Médio completo,Palha,Poço,Fossa rudimentar,0,NIS100107,-3.625282,-39.504367
FAM00108,Ouro,Rua do Estádio,rural,2,813,406.5,1,0,0,39,Fundamental incompleto,Taipa não revestida,Poço,Fossa rudimentar,0,NIS100108,-3.623666,-39.510568
FAM00109,Bela Vista,Rua Nossa Senhora,urbana,6,1047,174.5,1,0,0,30,Fundamental completo,Alvenaria sem revestimento,Rede geral,Fossa séptica,0,NIS100109,-3.620315,-39.503476
FAM00110,Pedra Furada,Rua Nossa Senhora - Pedra Furada,rural,4,769,192.25,0,0,0,52,Fundamental completo,Taipa não revestida,Poço,Fossa rudimentar,0,NIS100110,-3.623246,-39.510399
FAM00111,Itamaraty,Rua do Comércio - Itamaraty,urbana,5,1571,314.2,0,0,0,36,Fundamental incompleto,Alvenaria com revestimento,Rede geral,Rede coletora,1,NIS100111,-3.620986,-39.500011
FAM00112,Santa Úrsula,Rua José de Alencar - Santa Úrsula,rural,3,327,109.0,1,0,0,30,Médio completo,Alvenaria com revestimento,Poço,Fossa rudimentar,0,NIS100112,-3.62143,-39.507651
FAM00113,Pedra Furada,Rua do Comércio - Pedra Furada,rural,4,3615,903.75,0,0,0,37,Não sabe ler/escrever,Taipa não revestida,Poço,Fossa séptica,0,NIS100113,-3.623926,-39.509179
FAM00114,Angelim,Rua da Igreja - Angelim,urbana,5,1156,231.2,1,0,0,51,Fundamental completo,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100114,-3.623858,-39.499732
FAM00115,Sobradinho,Rua São Pedro,rural,2,1384,692.0,1,0,0,37,Fundamental completo,Taipa não revestida,Poço,Fossa rudimentar,0,NIS100115,-3.619607,-39.505925
FAM00116,Novo Angelim,Rua Nova,urbana,3,1248,416.0,1,0,0,39,Médio completo,Alvenaria com revestimento,Poço,Rede coletora,0,NIS100116,-3.622709,-39.50385
FAM00117,Pedra Furada,Rua Nossa Senhora - Pedra Furada,rural,4,703,175.75,1,0,0,33,Fundamental completo,Alvenaria com revestimento,Poço,Fossa rudimentar,0,NIS100117,-3.622194,-39.509978
FAM00118,Alto da Colina,Rua 7 de Setembro,urbana,2,307,153.5,0,0,0,41,Não sabe ler/escrever,Madeira,Rede geral,Rede coletora,0,NIS100118,-3.622859,-39.503168
FAM00119,Canto Escuro,Travessa do Sol - Canto Escuro,rural,4,1092,273.0,0,0,0,29,Superior completo,Taipa revestida,Cisterna,Fossa rudimentar,0,NIS100119,-3.629001,-39.510139
FAM00120,Santa Úrsula,Rua do Cruzeiro - Santa Úrsula,rural,4,378,94.5,0,0,0,44,Médio completo,Taipa não revestida,Poço,Fossa rudimentar,0,NIS100120,-3.622268,-39.509923
FAM00121,Ferrão,Rua José de Alencar - Ferrão,rural,2,1733,866.5,0,0,0,42,Fundamental completo,Taipa revestida,Cisterna,Fossa rudimentar,0,NIS100121,-3.625621,-39.509098
FAM00122,Paraíso,Rua José de Alencar,rural,3,656,218.67,0,0,0,41,Médio completo,Taipa revestida,Poço,Fossa rudimentar,0,NIS100122,-3.623154,-39.51208
FAM00123,Apertada Hora,Rua Nova,rural,3,95,31.67,1,0,0,44,Médio completo,Taipa não revestida,Cisterna,Fossa séptica,0,NIS100123,-3.629537,-39.503581
FAM00124,Belmonte,Rua Principal,rural,3,301,100.33,0,0,1,34,Médio completo,Palha,Poço,Fossa rudimentar,0,NIS100124,-3.630993,-39.50799
FAM00125,Carrapato,Rua Francisco Ferreira Fonteneles,rural,4,169,42.25,0,0,1,38,Não sabe ler/escrever,Taipa não revestida,Poço,Fossa séptica,0,NIS100125,-3.628961,-39.510062
FAM00126,Prata dos Galdinos,Rua da Igreja - Prata dos Galdinos,rural,4,425,106.25,0,0,0,60,Fundamental incompleto,Taipa não revestida,Cisterna,Fossa rudimentar,0,NIS100126,-3.622018,-39.511586
FAM00127,Alto da Colina,Rua São Pedro,urbana,5,126,25.2,1,0,0,59,Médio completo,Alvenaria com revestimento,Cisterna,Rede coletora,0,NIS100127,-3.622643,-39.503942
FAM00128,Alto da Colina,Rua Francisco Ferreira Fonteneles,urbana,3,1700,566.67,0,0,0,56,Fundamental completo,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100128,-3.622291,-39.502574
FAM00129,Bela Vista,Rua 7 de Setembro,urbana,5,207,41.4,1,0,0,44,Fundamental completo,Alvenaria com revestimento,Poço,Rede coletora,0,NIS100129,-3.620383,-39.502634
FAM00130,Centro,Rua Nova,urbana,3,588,196.0,0,0,0,46,Médio completo,Alvenaria com revestimento,Cisterna,Fossa séptica,0,NIS100130,-3.621427,-39.502788
FAM00131,Bela Vista,Rua do Mercado - Bela Vista,urbana,1,90,90.0,0,0,0,37,Fundamental completo,Alvenaria com revestimento,Rede geral,Fossa séptica,0,NIS100131,-3.620819,-39.502994
FAM00132,Água Fria,Rua do Estádio - Água Fria,rural,4,255,63.75,0,0,0,42,Médio completo,Taipa não revestida,Poço,Fossa rudimentar,0,NIS100132,-3.632303,-39.501232
FAM00133,Volta,Rua Principal - Volta,urbana,5,1094,218.8,0,0,0,45,Fundamental completo,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100133,-3.621242,-39.499612
FAM00134,Paraíso,Rua Nova,rural,5,3873,774.6,0,0,0,43,Não sabe ler/escrever,Taipa revestida,Poço,Fossa rudimentar,0,NIS100134,-3.624134,-39.513312
FAM00135,Bom Jesus,Rua do Cruzeiro - Bom Jesus,rural,3,410,136.67,1,0,0,42,Não sabe ler/escrever,Taipa revestida,Poço,Fossa rudimentar,0,NIS100135,-3.627065,-39.507058
FAM00136,Alto São João,Rua Nova,urbana,2,541,270.5,0,0,0,18,Médio completo,Alvenaria com revestimento,Rede geral,Vala a céu aberto,0,NIS100136,-3.62502,-39.500996
FAM00137,Pedra Furada,Rua do Comércio - Pedra Furada,rural,5,561,112.2,1,0,0,33,Médio completo,Taipa revestida,Poço,Fossa rudimentar,0,NIS100137,-3.623332,-39.509825
FAM00138,Serra do Sítio,Rua do Mercado,rural,5,1420,284.0,1,0,0,18,Não sabe ler/escrever,Palha,Rede geral,Fossa séptica,0,NIS100138,-3.622424,-39.506872
FAM00139,Lajedos,Rua São Pedro - Lajedos,urbana,3,5488,1829.33,0,0,0,35,Não sabe ler/escrever,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100139,-3.626972,-39.502906
FAM00140,Alto São João,Rua Nova,urbana,4,793,198.25,0,0,0,48,Médio completo,Madeira,Rede geral,Rede coletora,0,NIS100140,-3.626379,-39.501915
